stop_name,stop_id
Antigone,"[1105, 1090]"
Boutonnet - Cité des Arts,"[1113, 1082]"
Château d'Ô,"[1077, 1118]"
Comédie,"[1108, 1087]"
Corum,"[1109, 1086]"
Du Guesclin,"[1752, 1751]"
Euromédecine,"[1120, 1075]"
Gare Saint-Roch,"[1088, 1107]"
Gare Sud de France,"[2446, 2447]"
Halles de la Paillade,"[1072, 1123]"
Hauts de Massane,"[1121, 1074]"
Hôpital Lapeyronie,"[1116, 1079]"
Louis Blanc - Agora de la Danse,"[1085, 1110]"
Léon Blum,"[1104, 1091]"
Malbosc - Domaine d'Ô,"[1076, 1119]"
Millénaire,"[1096, 1099]"
Mondial 98,"[1652, 1653]"
Mosson,[1071]
Moularès (Hôtel de Ville),"[1101, 1094]"
Occitanie,"[1117, 1078]"
Odysseum,"[1097, 1098]"
Place Albert 1er - Saint-Charles,"[1084, 1111]"
Place de France,"[1540, 1541]"
Place de l'Europe,"[1092, 1103]"
Port Marianne,"[1100, 1095]"
Rives du Lez,"[1093, 1102]"
Saint-Paul,"[1073, 1122]"
Saint-Éloi,"[1081, 1114]"
Stade Philippidès,"[1112, 1083]"
Stade de la Mosson,"[1764, 1765]"
Universités Sciences et Lettres,"[1080, 1115]"
